stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
M5-L2_B1_4_L1_4-int,3.307992046760121,6.133056678288812,2.4679480876905333,1.3754863939674271,1.863503774296555,1.6919254507294141
M5-L2_B1_4_L1_4-int-dur,3.307992046760121,6.1515357687889916,2.51153712275692,1.4791094903468092,2.1640182386473317,2.030868187357612
M5-L2_B1_4_L1_4-int-rate,5.776173285198556,6.802986909235376,2.8795769582656567,1.375486393967427,1.8635037742965552,1.6919254507294141
M5-L2_B1_4_L1_4-int-dur-rate,5.776173285198556,6.802533050373569,2.8780326780351895,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_B1_4_L1_4-dur,3.307992046760121,6.008911437172848,1.1998566638302384,1.4791094903468092,2.1640182386473317,2.030868187357612
M5-L2_B1_4_L1_4-dur-rate,5.776173285198556,6.0827486500049694,1.6289714305039267,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_B1_4_L1_4-rate,5.776173285198556,6.081694217623242,1.590133635559873,1.375486393967427,1.8635037742965552,1.6919254507294141
M5-L2_C1_4_C1_5-int-dur-rate,4.250495054311506,5.103115505245135,1.1080183320252104,1.450902008503653,1.889297149886615,1.9839313579078093
M5-L2_C1_4_L1_4-int,3.4949927675493417,4.95717742438016,2.2236874643881808,1.313955400444096,1.4430498263030156,1.5591124699450112
M5-L2_C1_4_L1_4-int-dur,3.4949927675493417,4.940404431371183,2.1933480900140183,1.479109490346809,2.164018238647332,2.0308681873576124
M5-L2_C1_4_L1_4-int-rate,5.776173285198556,5.869070448724593,2.443897517681324,1.3139554004440965,1.4430498263030156,1.5591124699450116
M5-L2_C1_4_L1_4-int-dur-rate,5.776173285198556,5.8599774899049,2.4228452403157874,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_C1_4_L1_4-dur,3.4949927675493417,4.935779335835888,1.0066128558127396,1.479109490346809,2.164018238647332,2.0308681873576124
M5-L2_C1_4_L1_4-dur-rate,5.776173285198556,5.012195326155178,1.3539755200589927,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_C1_4_L1_4-rate,5.776173285198556,5.014883784164915,1.3852184429158547,1.3139554004440965,1.4430498263030156,1.5591124699450116
M5-L2_B1_5_B1_4-int-dur-rate,3.307992046760121,5.92432267471057,0.9384698889039153,1.3754863939674271,1.863503774296555,1.6919254507294141
M5-L2_B1_5_L1_4-int,3.1435966768280004,6.059193969321947,2.3833126960872875,1.7340468389077217,2.096606415500039,1.931658770624562
M5-L2_B1_5_L1_4-int-dur,3.143596676828001,6.039841592681901,2.3374988448326266,1.4791094903468083,2.1640182386473317,2.030868187357612
M5-L2_B1_5_L1_4-int-rate,5.7761732851985546,6.602733700213146,2.81644499381451,1.7340468389077224,2.09660641550004,1.9316587706245627
M5-L2_B1_5_L1_4-int-dur-rate,5.776173285198556,6.591594685824569,2.7833951629646942,1.479109490346809,2.1640182386473317,2.0308681873576124
M5-L2_B1_5_L1_4-dur,3.143596676828001,5.8282423844263445,1.3391448571991051,1.4791094903468083,2.1640182386473317,2.030868187357612
M5-L2_B1_5_L1_4-dur-rate,5.776173285198556,6.02089284546151,1.9572633953437266,1.479109490346809,2.1640182386473317,2.0308681873576124
